CNhs12499	1	96
CNhs12499	10	0
CNhs12499	100	22
CNhs12499	1000	10
CNhs12499	10000	21
CNhs12499	100009676	20
CNhs12499	10001	47
CNhs12499	10002	0
CNhs12499	10003	4
CNhs12499	100033425	0
CNhs12499	100033800	0
CNhs12499	100033806	0
CNhs12499	100033819	0
CNhs12499	100038246	0
CNhs12499	10004	15
CNhs12499	100048912	1
CNhs12499	10005	85
CNhs12499	10006	120
CNhs12499	10007	161
CNhs12499	10008	0
CNhs12499	10009	44
CNhs12499	100093630	505
CNhs12499	1001	0
CNhs12499	10010	125
CNhs12499	100101266	0
CNhs12499	100101267	15
CNhs12499	100101467	21
CNhs12499	10011	189
CNhs12499	100113402	6
CNhs12499	100113407	3
CNhs12499	100124700	0
CNhs12499	100125288	1
CNhs12499	100126321	0
CNhs12499	100126333	0
CNhs12499	100126335	0
CNhs12499	100126336	0
CNhs12499	100126348	0
CNhs12499	100126350	3
CNhs12499	100126784	48
CNhs12499	100126791	0
CNhs12499	100127888	0
CNhs12499	100127983	28
CNhs12499	100128054	0
CNhs12499	100128071	0
CNhs12499	100128079	0
CNhs12499	100128098	0
CNhs12499	100128176	0
CNhs12499	100128191	1
CNhs12499	100128252	92
CNhs12499	100128264	0
CNhs12499	100128285	0
CNhs12499	100128327	0
CNhs12499	100128338	0
CNhs12499	100128378	0
CNhs12499	100128398	4
CNhs12499	100128420	0
CNhs12499	100128429	0
CNhs12499	100128531	0
CNhs12499	100128569	0
CNhs12499	100128590	0
CNhs12499	100128593	0
CNhs12499	100128640	1
CNhs12499	100128675	0
CNhs12499	100128782	11
CNhs12499	100128822	3
CNhs12499	100128843	0
CNhs12499	100128853	0
CNhs12499	100128881	61
CNhs12499	100128927	4
CNhs12499	100128977	0
CNhs12499	100128993	0
CNhs12499	100129034	0
CNhs12499	100129046	0
CNhs12499	100129066	0
CNhs12499	100129075	30
CNhs12499	100129112	0
CNhs12499	100129128	0
CNhs12499	100129186	20
CNhs12499	100129195	0
CNhs12499	100129196	4
CNhs12499	100129216	0
CNhs12499	100129250	0
CNhs12499	100129271	0
CNhs12499	100129361	145
CNhs12499	100129387	24
CNhs12499	100129464	0
CNhs12499	100129482	12
CNhs12499	100129543	1
CNhs12499	100129583	1
CNhs12499	100129654	0
CNhs12499	100129716	3
CNhs12499	100129717	0
CNhs12499	100129726	2
CNhs12499	100129792	11
CNhs12499	100129827	0
CNhs12499	100129836	0
CNhs12499	100129842	4
CNhs12499	100129845	1
CNhs12499	100129858	4
CNhs12499	100129917	11
CNhs12499	100129924	38
CNhs12499	100129961	0
CNhs12499	10013	15
CNhs12499	100130009	8463
CNhs12499	100130027	0
CNhs12499	100130155	0
CNhs12499	100130231	0
CNhs12499	100130232	0
